experiment,tag,seed,run_directory,git_commit,final_communication_mb,final_avg_loss
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke/20260506_164739,d6f903880a51aa586366290ef882003a178f796c,35.0,1.6189914691050848
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke_fp32/20260505_164105,d664cc038846c52ad641016dd558643f87931961,70.0,1.6175644410053889
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke_lr1e-5/20260505_162420,d664cc038846c52ad641016dd558643f87931961,35.0,1.0757838934659958
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke_lr5e-5/20260505_154952,d664cc038846c52ad641016dd558643f87931961,35.0,1.0757838934659958
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_043024,e004f856517687dad3388e90f889671074902569,2625.0,1.3735539740920069
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/stage5_llama3_full/20260506_172045,d6f903880a51aa586366290ef882003a178f796c,2625.0,1.371683085779349
exp_llama3_flora_iid,seed_456,456,exp_llama3_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_064055,e004f856517687dad3388e90f889671074902569,2625.0,1.3738961615562437
exp_llama3_flora_iid,seed_456,456,exp_llama3_flora_iid/flora/seed_456/stage5_llama3_extra_seeds/20260514_193332,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,2625.0,1.37199816040198
exp_llama3_reverse_adaptive_iid,seed_123,123,exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_084409,e004f856517687dad3388e90f889671074902569,1942.5,1.3919996063113214
exp_llama3_reverse_adaptive_iid,seed_123,123,exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_123/stage5_llama3_extra_seeds/20260514_115918,e67fa6b0eaa9e0d703d7a46e467d675f3d18dbc8,1942.5,1.3902651987671852
exp_llama3_reverse_adaptive_iid,seed_42,42,exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_074605,e004f856517687dad3388e90f889671074902569,1837.5,1.3956125582456589
exp_llama3_reverse_adaptive_iid,seed_42,42,exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_42/stage5_llama3_full/20260507_082356,d6f903880a51aa586366290ef882003a178f796c,1837.5,1.3938311262925467
exp_llama3_reverse_adaptive_iid,seed_456,456,exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_094231,e004f856517687dad3388e90f889671074902569,1732.5,1.3995033132831254
exp_llama3_reverse_adaptive_iid,seed_456,456,exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_456/stage5_llama3_extra_seeds/20260515_104256,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,1732.5,1.3973662387728691
exp_llama3_two_phase_k8_iid,seed_123,123,exp_llama3_two_phase_k8_iid/two_phase/seed_123/phase1_cuda_rerun/20260715_113730,e004f856517687dad3388e90f889671074902569,1942.5,1.396640942533811
exp_llama3_two_phase_k8_iid,seed_123,123,exp_llama3_two_phase_k8_iid/two_phase/seed_123/stage5_llama3_extra_seeds/20260514_043315,e67fa6b0eaa9e0d703d7a46e467d675f3d18dbc8,1942.5,1.3948771262963613
exp_llama3_two_phase_k8_iid,seed_42,42,exp_llama3_two_phase_k8_iid/two_phase/seed_42/phase1_cuda_rerun/20260715_103959,e004f856517687dad3388e90f889671074902569,1942.5,1.3958104479312896
exp_llama3_two_phase_k8_iid,seed_42,42,exp_llama3_two_phase_k8_iid/two_phase/seed_42/stage5_llama3_full/20260507_005718,d6f903880a51aa586366290ef882003a178f796c,1942.5,1.393775810380777
exp_llama3_two_phase_k8_iid,seed_456,456,exp_llama3_two_phase_k8_iid/two_phase/seed_456/phase1_cuda_rerun/20260715_123413,e004f856517687dad3388e90f889671074902569,1942.5,1.3948474783500036
exp_llama3_two_phase_k8_iid,seed_456,456,exp_llama3_two_phase_k8_iid/two_phase/seed_456/stage5_llama3_extra_seeds/20260515_031432,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,1942.5,1.3927721588214237
exp_reverse_adaptive,seed_42,42,exp_reverse_adaptive/reverse_adaptive/seed_42/run_05_of_12/20260425_140923,684279c31817e0383c301e3239433cbc1b524aab,1289.0625,1.2735087777773537
exp_reverse_adaptive_iid,seed_123,123,exp_reverse_adaptive_iid/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_121855,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.2746100099086761
exp_reverse_adaptive_iid,seed_123,123,exp_reverse_adaptive_iid/reverse_adaptive/seed_123/stage2_adaptive/20260502_171633,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2752344407240548
exp_reverse_adaptive_iid,seed_42,42,exp_reverse_adaptive_iid/reverse_adaptive/seed_42/phase0_cuda_validation/20260714_221846,1480b7d265f20c02ad1557ba7e3f0142022c4099,1533.125,1.2755137101809182
exp_reverse_adaptive_iid,seed_42,42,exp_reverse_adaptive_iid/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_112811,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.27551357960701
exp_reverse_adaptive_iid,seed_42,42,exp_reverse_adaptive_iid/reverse_adaptive/seed_42/stage2_adaptive/20260502_141513,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2735571080048878
exp_reverse_adaptive_iid,seed_42,42,exp_reverse_adaptive_iid/reverse_adaptive/seed_42/stage3_checkpoint/20260506_130343,48ae0bbde5bf3b9cc4931bb289fdab913563482a,1533.125,1.2754731659094491
exp_reverse_adaptive_iid,seed_456,456,exp_reverse_adaptive_iid/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_130847,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.274481286128362
exp_reverse_adaptive_iid,seed_456,456,exp_reverse_adaptive_iid/reverse_adaptive/seed_456/stage2_adaptive/20260502_201916,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2751069316864014
exp_reverse_adaptive_no_switch,seed_42,42,exp_reverse_adaptive_no_switch/reverse_adaptive/seed_42/stage2_no_switch_sanity/20260502_105755,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,2578.125,1.2594342811902364
exp_reverse_adaptive_noniid_alpha01,seed_1000,1000,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_1000/stage2_adaptive_alpha01_extra_seeds/20260505_002408,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1226.5,1.2730455825208637
exp_reverse_adaptive_noniid_alpha01,seed_123,123,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_182704,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.2857148786175518
exp_reverse_adaptive_noniid_alpha01,seed_123,123,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_123/stage2_adaptive/20260503_114223,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2889847008883863
exp_reverse_adaptive_noniid_alpha01,seed_42,42,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_173955,7b95775212fc55e98ab17396d43f1d7be8565943,1379.8125,1.268221449304238
exp_reverse_adaptive_noniid_alpha01,seed_42,42,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_42/stage2_adaptive/20260503_083751,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1379.8125,1.2683526293787555
exp_reverse_adaptive_noniid_alpha01,seed_456,456,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_191752,7b95775212fc55e98ab17396d43f1d7be8565943,1643.125,1.3350383590776054
exp_reverse_adaptive_noniid_alpha01,seed_456,456,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456/stage2_adaptive/20260503_144422,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.3480826738390224
exp_reverse_adaptive_noniid_alpha01,seed_456_run999,456,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456_run999/phase1_17_diagnostic/20260716_192659,6316fb1e8a9b8afd2461779a1cf348c70fb1a5bd,1643.125,1.3145316212910785
exp_reverse_adaptive_noniid_alpha01,seed_789,789,exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_789/stage2_adaptive_alpha01_extra_seeds/20260504_212316,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2591996681061424
exp_reverse_adaptive_noniid_alpha05,seed_123,123,exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_200920,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.2715077817926104
exp_reverse_adaptive_noniid_alpha05,seed_123,123,exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/stage2_adaptive/20260503_022754,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.282624729867208
exp_reverse_adaptive_noniid_alpha05,seed_42,42,exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_010658,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.29538893247476
